chembl_id,reason,source
CHEMBL598832,Found in Allosteric Assay: Allosteric inhibition of PTP1B...,Assay Description
CHEMBL4128743,Found in Allosteric Assay: Inhibition of allosterically sensitized His6-tagge...,Assay Description
