chembl_id,ic50_nm,mw,logp,smiles
CHEMBL598832,3000.0,586.28,5.71,CCc1oc2cc(S(=O)(=O)Nc3nccs3)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
CHEMBL4128743,125.0,934.01,5.99,CC1(C)C(/C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccc([As]4SCCS4)cc3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc([As]3SCCS3)cc21
