chembl_id,ic50_nm,units,relation,smiles,mw,logp
CHEMBL265665,120.0,nM,=,CCCCCCCC/C(=C\Cn1oc(=O)n(CC(=O)O)c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1,643.6590000000004,7.083020000000007
CHEMBL6518,120.0,nM,=,CCCCCCCC/C(=C/Cn1oc(=O)n(CC(=O)O)c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1,643.6590000000004,7.083020000000007
CHEMBL203751,850.0,nM,=,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C(=C/Cn2oc(=O)n(CC(=O)O)c2=O)c2ccccc2)c1,607.5410000000003,5.380720000000005
CHEMBL431555,1000.0,nM,=,N[C@@H](Cc1ccc(OC(F)(C(=O)O)C(=O)O)cc1)C(=O)O,301.226,-0.14519999999999983
CHEMBL25243,370.0,nM,=,CCCCc1oc2ccccc2c1Cc1ccc2c(Br)c(OC(Cc3ccccc3)C(=O)O)ccc2c1,557.4840000000002,8.356600000000006
CHEMBL24032,575.44,nM,=,Oc1ccc(-c2ccc(-c3c(Cc4ccc(O)cc4O)sc4ccccc34)cc2)cc1,424.5210000000001,6.942900000000006
CHEMBL3350944,410.0,nM,=,Cc1ccc2oc(Cc3ccccc3)c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)O)cc4)cc3)c2c1,538.6430000000003,8.740720000000003
CHEMBL24003,100.0,nM,=,O=C(O)COc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,608.3510000000002,8.8145
CHEMBL23989,330.0,nM,=,CCCCc1oc2ccccc2c1Cc1ccc2c(Br)c(O)ccc2c1,409.32300000000004,6.987500000000005
CHEMBL26554,290.0,nM,=,CC(Cc1ccccc1)(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1)C(=O)O,538.6430000000003,8.822400000000004
CHEMBL1086226,38.0,nM,=,O=C(O)[C@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br,682.4080000000002,9.957299999999993
CHEMBL193134,398.11,nM,=,O=C(O)[C@H](Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1)c1ccccc1,510.58900000000017,8.562300000000004
CHEMBL24712,520.0,nM,=,Oc1c(I)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1I,644.3150000000002,8.7409
CHEMBL1086228,229.09,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1[N+](=O)[O-],569.6130000000003,8.340500000000006
CHEMBL1082297,52.48,nM,=,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2O[C@H](Cc2ccccc2)C(=O)O)cc1,646.8080000000003,10.576399999999994
CHEMBL278092,28.84,nM,=,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(Br)c2OCC(=O)O)cc1,635.5790000000001,9.727599999999999
CHEMBL280388,650.0,nM,=,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2cc(Br)c(O)c(Br)c2)cc1,553.172,8.233420000000004
CHEMBL286007,740.0,nM,=,CCCCc1oc2ccccc2c1-c1ccc(-c2ccc(O)cc2)cc1,342.43800000000005,6.815000000000007
CHEMBL3350943,590.0,nM,=,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ncccc34)cc2)cc1,525.6040000000003,7.827300000000007
CHEMBL3350941,970.0,nM,=,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3ccsc3Cc3ccccc3)cc2)cc1,490.6240000000002,7.7476000000000065
